version,N,repeats,h2d_ms,kernel_ms,d2h_ms,total_ms,kernel_GFLOPS,total_GFLOPS,max_abs_error
cuda_naive,128,5,0.069952,0.060608,0.03495,0.16551,69.203802,25.341632,7.63e-06
cuda_tiled,128,5,0.071821,0.050259,0.042016,0.164096,83.453453,25.560063,7.63e-06
cuda_naive,256,5,0.163347,0.112563,0.106758,0.382669,298.094174,87.685317,2.289e-05
cuda_tiled,256,5,0.167456,0.091648,0.114362,0.373466,366.122915,89.846112,2.289e-05
cuda_naive,512,5,0.63191,0.481158,0.407245,1.520314,557.894142,176.565843,4.578e-05
cuda_tiled,512,5,0.620243,0.332902,0.408128,1.361274,806.348884,197.194356,4.578e-05
cuda_naive,1024,5,1.945593,5.240672,1.448122,8.634387,409.772564,248.712925,9.155e-05
cuda_tiled,1024,5,1.919923,3.439501,1.356768,6.716192,624.359105,319.747197,9.155e-05
